,VideoID,Title,PublishedAt,ChannelID,Description,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,FavoriteCount,CommentCount,RegionCode,Date
0,qBvGB8aCFsc,A Gomita se le sale el bikini en el parque Acuatico | Soy Fredy,2018-08-06T21:00:07.000Z,UCLBrzsFRM-PgnLgAaxOLRFA,"CONTRATACIONES LAPIZITO Y LAPIZIN: 

55 36539208
  
Mis redes Oficiales
TWITTER: https://twitter.com/lapizito123?lang=es
FACEBOOK: https://es-la.facebook.com/pages/Lapi... 
INSTAGRAM: https://instagram.com/lapizitooficial/
VINE: https://vine.co/u/988753193272000512 

DALE LIKE,SUSCRIBETE Y COMPARTE si te saque una sonrisa! :D",SoyFredy,22,1764866,54528,4105,0,3128,MX,8/7/2018
1,GDM4rJUbFBs,Vete a la Versh - Sofi Explica: Dispositivo Intrauterino,2018-08-06T20:01:41.000Z,UCmyIMuo8zRYgLshDff0vLuw,"¿Estás buscando un método anticonceptivo para evitar limpiar mocos y popos?

Si ya estás en edad de merecer, es momento también de cuidarte.
Visita el siguiente link https://www.dkt.com.mx/ruta69/ o http://bit.ly/2ONiQJi para conocer más sobre la #Ruta69, la más grande en anticoncepción. 

La unidad móvil de DKT México estará en algunas colonias de la Cd. de México con métodos anticonceptivos a precio de recuperación; todo esto gracias a la compra que haces de todos los productos de la marca Prudence. 

Si deseas más información, manda un WhatsApp al +52 1 55 6066 8942.",Vete a la Versh,23,1240797,132374,2480,0,7483,MX,8/7/2018
2,otN62hJ1wJg,12 datos perturbadores sobre tu cuerpo que no te dejarán dormir,2018-08-07T17:00:05.000Z,UCYWOjHweP2V-8kGKmmAmQJQ,"12. Produces 30 mil litros de saliva a lo largo de tu vida. ¿Alguna vez te has puesto a pensar en la cantidad de saliva que produces? Puede parecer una pregunta muy poco usual, pero después de conocer la respuesta, tu  vida no podrá ser la misma.  

11. Cambias por completo de piel 1000 veces. Es posible que no lo hayas notado antes, pero al igual que muchos animales, los seres humanos cambiamos de piel cada 20 o 30 dias, solo que lo hacemos de forma gradual y no como las serpientes que lo hacen de un solo golpe y dejando atrás su antigua piel como si se tratara de un calcetin. 

10. Tus uñas tienen restos de. Aunque dobles el papel de baño cuatro veces o lo hagas bola, el excremento puede atravesar hasta 10 microcapas de papel.  

9. Te tragas un litro de moco al día. Si en algún punto del día, llega el momento donde sientes la boca salada, déjame decirte que es por esta razón. Por asqueroso que parezca, los mocos bajan desde la nariz hasta la garganta y aunque no quieras, te los tragas sin que te des cuenta.   

8. En tus pestañas viven miles de ácaros. Bueno, de hecho los hay en toda tu cara pero sin duda, su lugar favorito son tus pestañas.  

7. Piedras en las amígdalas. Si tienes muy mal aliento aunque aparentemente tengas una buena higiene bucal, déjame decirte que tener piedras en las amígdalas puede ser una posible razón.  

6. Te echas 14 flatulencias al día aproximadamente. ¿Eso qué quiere decir? Que cada vez que estás en tu salón de clases o si trabajas en una oficina, todo el día estás oliendo gases ajenos.  

5. Pierdes entre 50 y 100 cabellos al día. No te preocupes, no significa que te vas a quedar pelón o pelona. Afortunadamente tenemos millones de folículos en el cuero cabelludo que  ni siquiera se nota, así que por el momento, puedes seguir durmiendo tranquilo. 

4. Cuando das un beso en la boca transmites millones de bacterias. Guácala que rico.  Para ser más exactos, 80 millones de bacterias.  

3. Los estornudos alcanzan una velocidad de 70 km/h. Demasiado rápido ¿cierto? Pero aquí no acaban las cosas, la saliva puede alcanzar los 7 metros de distancia, por eso es tan importante que te tapes la boca al estornudar, de lo contrario podrías espacir tus virus por todas partes y contagiar a las personas a tu al rededor.

2. Hay “monstruo” Se llaman teratomas, y literalmente son tumores monstruosos por el simple hecho de que, dentro de ellos, a algunos les crece pelo, dientes y en casos extremos, como el que le sucedió a una chica en Japón el año pasado, le estaba creciendo un cráneo en el  de ovario que le extirparon.   

1. El “triángulo de la muerte” en tu rostro. Así como lo escuchas. Para saber cuál es, dibuja unas líneas imaginarias desde las comisuras de los labios hasta la parte alta del puente de la nariz. 

Y a ti, ¿Cuál de estos puntos te pareció el más perturbador? 

""VOZ"" por Tavo Betancourt
Facebook: https://www.facebook.com/TavoBetancourt18
Instagram: https://www.instagram.com/o_betancourt/
Youtube: https://www.youtube.com/c/TavoBetancourt

Suscríbete► https://www.youtube.com/user/badabunOficial?sub_confirmation=1
Facebook► https://www.facebook.com/BadabunOficial
Twitter► https://twitter.com/BadabunOficial
Instagram► https://instagram.com/badabun
Sitio Web► http://www.badabun.com

CONTACTO► ventas@vuntu.com

BADABUN NETWORK ©",Badabun,28,618283,31303,4729,0,4253,MX,8/7/2018
3,u4ht-jBz2RY,En este país orinar es considerado un arte...,2018-08-06T20:30:17.000Z,UCECJDeK0MNapZbpaOzxrUPA,"Visita la tienda en línea de Luisillo http://www.merchallday.com/luisitoshop

¡SUSCRÍBETE!

- Twitter https://www.twitter.com/LuisitoComunica
- Facebook http://www.facebook.com/LuisitoComunica
- Instagram http://www.instagram.com/LuisitoComunica",Luisito Comunica,23,1525414,94458,1758,0,6950,MX,8/7/2018
4,EH3z3Xevr7U,Como Deadpool 2 Debería Haber Terminado,2018-08-06T18:29:47.000Z,UCgyhGX2FNKqDJwU0-Nw4wUg,"Muchísimas Gracias a todos los fans que mandaron sus ideas para este episodio – como siempre hubo MUCHAS.
Nos encantó leerlas y nos divertimos mucho con este, así que esperamos que lo disfruten.

Por fin tenemos aquí el Cómo Debería Haber Terminado de Deadpool 2 y escrito por ustedes los fans!, otra vez se escogió una idea de este canal, así que muchas felicidades a Diego C por haber puesto la idea de la paradoja, ojala lo disfruten tanto como nosotros haciendo el doblaje, saludos a todos =D

Suscríbete
http://bit.ly/SuscribeteComoDeberiaHaberTerminado
 
SÍGUENOS EN:

Facebook
http://bit.ly/HISHEenespañolFacebook

Twitter
@HisheenEspanol
http://bit.ly/HISHEenespañolTwitter

Instagram @Hisheenespanol
http://bit.ly/HISHEenespañolInstagram

Suscríbanse a HISHE
https://bit.ly/HISHEsubscribe

Voces
Erika Martinez
Domino

Luis Horacio González
Coloso, Juggernaut, Capitan America, Deadpoool, Quick Silver, Pennywise, Batman, Thanos, Thor, Loki, Palpatine, Voldemort, Joker, 

Voz Invitada
Chema Garcia Alexandre
Terry (Hombre Old Spice) Director Instituto, Russel
http://bit.ly/ChemichiDoblajes

Video Original
https://youtu.be/XU3NWji4h7s

Videos Anteriores

Infinity War HISHE Alternativo
https://youtu.be/GZMKqAkvCkg

Como Infinity War Debería Haber Terminado
https://youtu.be/c36b_h5Vowc

Jurassic World HISHE Alternativo
https://youtu.be/rSnkUMcMonw

Jurassic World Recapitulación Cómica (HISHE Doblajes)
https://youtu.be/2uNzjLDIDoc

Cinco Etapas Para Ver una Película de Star Wars
https://youtu.be/AdHjNVJSAR4

Como Black Panther Debería Haber Terminado
https://youtu.be/8eDyOgfdV-I

Como IT Debería Haber Terminado
https://youtu.be/93vJ9-oXOe4

Avengers: A Infinity War y mas Allá (Una Mezcla con Toy Story)
https://youtu.be/wkmJgg-SPzc

Avengers Infinity War – Reseña HISHE (SPOILERS)
https://youtu.be/1ULsby8Htg0

Compilación HISHE del UCM Volumen Uno
https://youtu.be/QbVZF5om4Nc

El Bar de Los Villanos – Apuestas de Muerte (Guerra del Infinito)
https://youtu.be/2RI2M9y7azc

Como La Liga de La Justicia Debería Haber Terminado
https://youtu.be/0RCnj4XH9Vs

Titanes del Pacifico – Recapitulación Cómica (HISHE Doblajes)
https://youtu.be/a1jxg3Eesss

Star Wars – Resumen de las Mejores Películas
https://youtu.be/ApkuvIlZ24Y

Black Panther Reseña HISHE (SPOILERS)
https://youtu.be/IdavugUNE74

Como Star Wars Los Últimos Jedi Debería Haber Terminado
https://youtu.be/SRXlpcluij8

Star Wars: El Despertar de la Fuerza – Recapitulación Comica (HISHE Doblajes)
https://youtu.be/EEqIjcma8ws

Como Thor Ragnarok Debería Haber Terminado
https://youtu.be/TXl0l1akQ2g

El Bar de Los Villanos – 12 Días de Navidad
https://youtu.be/PgdNZHyNgf4

STAR WARS HISHE Compilación Volumen 1
https://youtu.be/W4NaSJ6BVDw

Mary Poppins Protagonizada por Yondu
https://youtu.be/kHPB4xOCB5I

Intercambio de Héroes – It (Eso) Protagonizado por Jar Jar Binks
https://youtu.be/BHwNKerzbiY

El Sonido de la Violencia – Una Parodia de Batman del Sonido del Silencio
https://youtu.be/kk85pQbYAFE

Liga de La Justicia – Reseña HISHE (SPOILERS)
https://youtu.be/fWszf2Rd7go

Como Los Increíbles Debería Haber Terminado
https://youtu.be/yoZKgPhb9YU

Batman V Superman – Recapitulación Cómica (HISHE Doblajes)
https://youtu.be/BpA7ksLJJ_g

Thor Ragnarok – Reseña HISHE (SPOILERS)
https://youtu.be/wRg_mAi6TA4

Thor canta – No Digno (Una parodia de MC Hammer)
https://youtu.be/cmM0GrhJcvE

El Bar de Los Villanos – Un Penny por tus Miedos
https://youtu.be/oXoDCqSTNSw

Como Spider-Man: De Regreso a Casa Debería Haber Terminado
https://youtu.be/QjZGvyoCaFE

Blade Runner (1982) – RECAPITULACIÓN HISHE DOBLAJES
https://youtu.be/AdG9i7Abk9I

Chirrut Contra Todo – Una Parodia de Lego Star Wars
https://youtu.be/PadYvRhMPU0

Como La Mujer Maravilla Debería Haber Terminado
https://youtu.be/Meyksjz99m4

Como Guardianes de la Galaxia Vol. 2 Debería Haber Terminado
https://youtu.be/fATnLcvq2Xw?list=PLGZ0qGgYUGsH0mR5msZ4BtNCvU_vTcHx6

Como Kong: La Isla Calavera Debería Haber Terminado
https://youtu.be/JJk1OZDMtxo?list=PLGZ0qGgYUGsG10aJs-SM0xuMMPiZSiLAQ

Cinco Etapas Para Ver un Relanzamiento de Spider-Man
https://youtu.be/3b7wjoohuo4?list=PLGZ0qGgYUGsFbQNpJz5qTmGSZk5nmN9jm

Como Moana Debería Haber Terminado
https://youtu.be/yy31MKm4roA?list=PLGZ0qGgYUGsG19zqS0YiSS_VpYcogTQLi

Como LEGO Batman: La Película Debería Haber Terminado
https://youtu.be/8nWiZpzpQvA?list=PLGZ0qGgYUGsEIKZYzvH_DRecrxmJX9sQg

Como LEGO la Película Debería Haber Terminado
https://youtu.be/5ahfo8X04WA?list=PLGZ0qGgYUGsEIKZYzvH_DRecrxmJX9sQg

Como Batman v Superman: El Origen de la Justicia Debería Haber Terminado
https://youtu.be/dn2IIBvhG-k?list=PLGZ0qGgYUGsH7Zrvygh0fbyGSeyFVeHnp

El Bar de los Villanos – La Batalla
https://youtu.be/2fJOKG3bUsE?list=PLGZ0qGgYUGsGe3DeShLMbGI8PXLniQzaM

Como Guardianes de la Galaxia Debería Haber Terminado
https://youtu.be/qKX2qRDYzpY?list=PLGZ0qGgYUGsH7Zrvygh0fbyGSeyFVeHnp",Como Deberia Haber Terminado,24,341065,28992,601,0,1708,MX,8/7/2018
5,MmBfCYN9n7I,RESTAURANTE EXCLUSIVO de NUTELLA y Juguetería en CANADA !!!,2018-08-06T19:07:43.000Z,UCls0I-w3ynnObiKL8QgBa6g,"Hoy visitaremos a la mejor fuente DEL PERRO MUNDO !!! La fuente de los perritos, iremos a una juguetería en el centro comercial de Toronto, comeremos cosas deliciosas, te daré un room tour de nuestro nuevo departamento y AL FINAL: UN RESTAURANTE EXCLUSIVO DE NUTELLA !!!!

DINERO GRATI$$$$$$: 
1- Dale like: https://www.facebook.com/BilgiAO/
Usa el código ""BENSHORTS"" en http://bilgi.mx/ y te dan 30% de descuento!
2- Quiero regalarte $30 de descuento en cada uno de tus primeros 3 viajes Uber. Para aceptar, usa el código xfeoi y regístrate.Detalles: https://www.uber.com/invite/xfeoi
3- ¿Tienes hambre? Obtén $40.00 de descuento en tu primer pedido con Uber Eats con mi código: eats-xfeoi. http://ubr.to/EatsGiveGet
4- Este cupón es por $595 de descuento en tu próximo viaje :) http://abnb.me/e/Gf7YJ9k7MG
5- $600 EN RAPPI: Descarga la app y activa mi código hector54650
https://bnc.lt/scMl/SCKYDB12pO



Conferencias/Campañas/Negocios/Contrataciones: Contacto@Benshorts.mx 

Sígueme por aquí! :)
Instagram: http://Instagram.com/benshorts
Facebook: http://facebook.com/benshortstuff
Twitter: http://twitter.com/benshorts

Hola ¿Qué haces hasta acá abajo? los likes están arriba ( ͡° ͜ʖ ͡°)",Benshorts,23,163385,14119,264,0,909,MX,8/7/2018
6,KALVso4ZrfI,QUESADILLAS DE NUTELLA | YO NO SOY UN CHEF,2018-08-06T20:01:49.000Z,UCMB-WRTbPFgjGaXAZljI87A,"Redes Sociales:

YO NO SOY UN CHEF

■ Facebook:  https://goo.gl/qT95PL
■ Instagram: https://instagram.com/yonosoyunchef
■ Twitter: https://twitter.com/yonosoyunchef
■ Contacto/Negocios: strecci@wearedw.com

YAMILITO (Edición)

■ Facebook:  https://goo.gl/s3424N
■ Instagram: https://instagram.com/yamilrex
■ Twitter: https://twitter.com/ yamilrex 
■ Contacto/Negocios soyyamilrex@gmail.com",YO NO SOY UN CHEF,24,153323,11665,458,0,670,MX,8/7/2018
7,uq2vVa-qCjU,Las 7 predicciones de los Simpsons que se hicieron realidad,2018-08-05T22:10:23.000Z,UCNYW2vfGrUE6R5mIJYzkRyQ,"Hace 4 años, hice un video titulado ""Las predicciones más perturbadoras de Los Simpsons"". Desde entonces, volvieron a ocurrir cosas...

Actualizo 3 veces por semana. Por favor... ¡suscríbete!: http://bit.ly/1a1sm3k

Consigue mi Ouija:

Envíos internacionales: http://www.montecarlo.com.mx/comprar-ouija-de-dross.html
AMAZON MÉXICO: https://www.amazon.com.mx/dp/B07D33629T


Página web oficial: www.drossrotzank.com

Sígueme en Twitter y manténte al tanto de mis tweets, por favor: http://bit.ly/1aCnKiW

Sígueme en Facebook (actualizo muchas veces): http://on.fb.me/16XIVcT

Tengo cuenta en Instagram: https://instagram.com/soydrossrotzank

Este es mi canal secundario de Youtube: http://bit.ly/LosVlogsDeDross

Ven a mi sim de SL: http://maps.secondlife.com/secondlife/Dross/98/106/1499",DrossRotzank,24,2690382,218241,7304,0,16948,MX,8/7/2018
8,hTgsJ_vbtRQ,ADIÓS Psycho Clown | Lucha Libre AAA Worldwide,2018-08-06T20:00:01.000Z,UCMA4MOXJ3L5K9jKEDyFX6LQ,"EN VIVO: www.twitch.tv/luchalibreaaa
Sitio Oficial: http://bit.ly/aaa-world-wide
Fanpage: http://bit.ly/aaa-facebook
Feed Twitter: http://bit.ly/aaa-twitter
Videos: http://bit.ly/aaa-youtube-tv
Fotos: http://bit.ly/aaa-instagram",Lucha Libre AAA,17,174758,1961,263,0,608,MX,8/7/2018
9,dzThagyqX3k,27 EASY PHONE HACKS AND DIYs,2018-08-07T13:30:00.000Z,UC295-Dw_tDNtZXFeAPAW6Aw,"PHONE HACKS AND DIYs

I love phone hacks! They're so easy and fun!

So, here is the number of hacks you may need to use on any given day! We're all kind of addicted to our smartphones, so we might as well use it for our own benefit! Here we go! : )

I bet this problem is the most common one! Have you ever noticed those nasty foggy stains and fingerprints on your phone screen? I have. Here's what I've come up with - I simply took and eraser and started cleaning it carefully. Worked as a charm!

There are tons of different useful hacks in your smartphone's settings you may have had no idea about, such as headphones remote shutter, water drop macro lens, white sheet reflector, pantyhose portrait softener, sunglasses filter, underwater housing, flashlight diffuser, racing game gadget.I'm gonna show you how to make incredibly stylish and handy phone cases as well! 

You can use old ties, plain or color-changing nail polish, feathers, glue gun, bathroom hooks, watch band and even baking mold!By the way,  you can make and watch optical illusions yourself, that is a hologram on your smartphone! Have fun, my friends!

This time I'm gonna share with you these awesome Budget Photo hacks and crafts!
You're about to discover the best poses and face angles for photo session and ways to create natural filters!


TIMESTAMPS:

0:38 Eraser hack
2:36 Easy lamp
5:35 Nail polish design
8:34 Headphones remote shutter

----------------------------------------------------------------------------------------
Our Social Media:

Facebook: https://www.facebook.com/5min.crafts/
Instagram: https://www.instagram.com/5.min.crafts/
Twitter: https://twitter.com/5m_crafts

Subscribe to 5-Minute MAGIC: http://bit.ly/2ldditZ
Subscribe to 5-Minute Crafts GIRLY: https://goo.gl/fWbJqz
Subscribe 5-Minute Crafts KIDS: https://goo.gl/PEuLVt

The Bright Side of Youtube: https://goo.gl/rQTJZz

----------------------------------------------------------------------------------------
For more videos and articles visit:
http://www.brightside.me/

Music:

1. Whatdafunk by Audionautix is licensed under a Creative Commons Attribution licence (https://creativecommons.org/licenses/by/4.0/)

Artist: http://audionautix.com/ 

2. Texas Techno by Audionautix is licensed under a Creative Commons Attribution licence (https://creativecommons.org/licenses/by/4.0/)

Artist: http://audionautix.com/",5-Minute Crafts,26,438548,9110,734,0,778,MX,8/7/2018
